City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
110,Georgetown,MY,5.4112,100.3354,80.24,91,20,4.61,heavy intensity rain
111,Nioro,GM,13.35,-15.75,91.94,28,84,2.24,broken clouds
112,Lompoc,US,34.6391,-120.4579,48.85,78,0,9.22,clear sky
113,Upernavik,GL,72.7868,-56.1549,18.43,75,100,8.48,overcast clouds
114,Talnakh,RU,69.4865,88.3972,-24.86,87,75,4.29,broken clouds
115,Portland,US,45.5234,-122.6762,38.52,89,20,4.0,mist
116,Tabas,IR,33.5959,56.9244,64.04,32,1,11.36,clear sky
117,Lagoa,PT,39.05,-27.9833,60.75,67,100,16.08,overcast clouds
118,Avarua,CK,-21.2078,-159.775,71.65,78,75,6.91,broken clouds
119,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,75,40,5.75,scattered clouds
120,Caravelas,BR,-17.7125,-39.2481,84.2,58,70,7.72,broken clouds
121,Petrivka,UA,46.9695,30.9591,56.03,60,6,12.8,clear sky
122,San Juan,AR,-31.5375,-68.5364,60.4,55,42,16.51,scattered clouds
123,Hervey Bay,AU,-25.2986,152.8535,72.64,73,31,14.12,scattered clouds
124,Linhares,BR,-19.3911,-40.0722,84.04,58,49,8.25,scattered clouds
125,Alta Floresta,BR,-9.8756,-56.0861,84.02,79,72,2.3,broken clouds
126,Lebu,CL,-37.6167,-73.65,55.38,83,45,13.2,scattered clouds
127,Port Lincoln,AU,-34.7333,135.8667,55.98,83,99,28.81,overcast clouds
128,Saldanha,ZA,-33.0117,17.9442,75.25,63,0,13.71,clear sky
129,Shache,CN,38.4167,77.2406,45.55,27,90,5.19,overcast clouds
130,Lorengau,PG,-2.0226,147.2712,80.67,82,99,2.53,overcast clouds
131,Caluquembe,AO,-13.7833,14.6833,84.96,19,30,2.39,scattered clouds
132,Mudanjiang,CN,44.5833,129.6,27.05,49,0,2.28,clear sky
133,Pacific Grove,US,36.6177,-121.9166,45.66,87,0,5.75,clear sky
134,Souillac,MU,-20.5167,57.5167,79.18,61,20,6.91,few clouds
135,Middelburg,ZA,-25.7751,29.4648,62.29,77,99,5.48,overcast clouds
136,Maniitsoq,GL,65.4167,-52.9,30.33,61,100,16.17,overcast clouds
137,Port Moresby,PG,-9.4431,147.1797,80.02,78,40,11.5,light rain
138,Daru,PG,-9.0763,143.2092,80.19,83,99,12.17,overcast clouds
139,Soltsy,RU,58.1239,30.3238,43.86,65,100,11.25,overcast clouds
140,Hirara,JP,24.8,125.2833,77.81,78,100,17.96,overcast clouds
141,Arinos,BR,-15.9169,-46.1056,82.56,58,78,4.41,broken clouds
142,Buraydah,SA,26.326,43.975,86.45,19,0,5.41,clear sky
143,Lasem,ID,-6.6922,111.4527,80.8,82,100,3.85,overcast clouds
144,Kapaa,US,22.0752,-159.319,73.72,87,40,14.97,light rain
145,Fresnillo,MX,23.1667,-102.8833,44.15,46,0,5.99,clear sky
146,Saint-Augustin,CA,51.226,-58.6502,27.45,55,100,6.55,overcast clouds
147,Carutapera,BR,-1.195,-46.02,86.67,61,27,8.95,scattered clouds
148,Auki,SB,-8.7676,160.7034,76.53,88,88,4.43,overcast clouds
149,Nemuro,JP,43.3236,145.575,54.52,89,100,29.82,heavy intensity rain
150,Hami,CN,42.8,93.45,36.55,45,1,4.29,clear sky
151,Beyneu,KZ,45.3167,55.2,45.34,83,100,26.89,overcast clouds
152,Yellowknife,CA,62.456,-114.3525,30.72,100,100,12.66,light snow
153,Hastings,GB,50.8552,0.5729,60.33,95,99,9.15,overcast clouds
154,Chuy,UY,-33.6971,-53.4616,69.89,82,100,12.97,overcast clouds
155,Heihe,CN,50.2441,127.4902,25.38,87,100,4.92,overcast clouds
156,Kruisfontein,ZA,-34.0033,24.7314,71.89,46,0,19.1,clear sky
157,Heinola,FI,61.2056,26.0381,41.0,80,13,6.4,few clouds
158,Valdivia,CL,-39.8142,-73.2459,53.69,98,100,2.35,overcast clouds
159,Hualmay,PE,-11.0964,-77.6139,64.0,83,91,4.29,overcast clouds
160,Cherskiy,RU,68.75,161.3,-27.35,100,49,4.68,scattered clouds
161,Luderitz,NA,-26.6481,15.1594,69.21,61,0,26.31,clear sky
162,North Bend,US,43.4065,-124.2243,37.17,100,20,4.61,few clouds
163,Ambulu,ID,-8.345,113.6058,78.12,91,100,1.39,heavy intensity rain
164,Alyangula,AU,-13.8483,136.4192,84.02,73,5,8.84,clear sky
165,Contamana,PE,-7.3333,-75.0167,85.32,60,77,3.98,broken clouds
166,Chabahar,IR,25.2919,60.643,81.14,69,0,13.98,clear sky
167,Tura,IN,25.5198,90.2201,63.88,89,0,3.87,clear sky
168,Sembe,CG,1.6481,14.5806,83.46,63,100,2.82,overcast clouds
169,Broome,US,42.2506,-75.833,40.69,88,100,5.75,overcast clouds
170,Grindavik,IS,63.8424,-22.4338,51.75,76,75,23.02,broken clouds
171,Loa Janan,ID,-0.583,117.095,75.16,97,96,1.5,overcast clouds
172,Stephenville,US,32.2207,-98.2023,34.93,60,41,6.91,scattered clouds
173,Lisieux,FR,49.1667,0.1667,62.11,55,67,7.25,broken clouds
174,Sitka,US,57.0531,-135.33,48.09,93,100,10.36,moderate rain
175,Phayakkhaphum Phisai,TH,15.5163,103.1937,87.57,64,60,7.63,broken clouds
176,Price,US,39.5994,-110.8107,18.66,73,0,6.91,clear sky
177,Seabra,BR,-12.4186,-41.7703,78.67,58,28,7.25,scattered clouds
178,Birjand,IR,32.8663,59.2211,57.67,33,40,13.8,scattered clouds
179,San Policarpo,PH,12.1791,125.5072,81.88,82,73,11.34,broken clouds
180,Ano Mera,GR,37.45,25.4,67.42,59,0,13.8,clear sky
181,Dingzhou,CN,38.5131,114.9956,35.71,49,100,5.55,overcast clouds
182,Ilulissat,GL,69.2167,-51.1,33.82,44,75,5.75,broken clouds
183,Todos Santos,MX,23.45,-110.2167,69.44,77,69,3.87,broken clouds
184,Lazaro Cardenas,MX,17.9583,-102.2,75.45,87,80,5.01,broken clouds
185,Shawnee,US,39.05,-95.7669,19.94,83,0,3.44,clear sky
186,Urumqi,CN,43.801,87.6005,36.55,75,0,2.24,clear sky
187,Qaqortoq,GL,60.7167,-46.0333,29.12,98,100,11.95,light snow
188,Ostrov,RU,57.3439,28.3537,44.33,74,100,9.6,overcast clouds
189,Dali,CN,25.7,100.1833,52.3,69,0,4.9,clear sky
190,Cabedelo,BR,-6.9811,-34.8339,81.27,67,50,10.18,scattered clouds
191,Itarema,BR,-2.9248,-39.9167,87.64,57,66,13.78,broken clouds
192,Hobyo,SO,5.3505,48.5268,82.74,67,5,17.54,clear sky
193,Harlingen,US,26.1906,-97.6961,55.31,46,100,10.36,overcast clouds
194,San-Pedro,CI,4.7485,-6.6363,83.68,69,91,7.94,overcast clouds
195,Coihaique,CL,-45.5752,-72.0662,56.01,71,75,3.44,broken clouds
196,Salalah,OM,17.0151,54.0924,84.29,61,0,8.05,clear sky
197,Faanui,PF,-16.4833,-151.75,70.47,91,100,5.48,moderate rain
198,Sassandra,CI,4.95,-6.0833,83.52,68,72,8.46,broken clouds
199,Bathsheba,BB,13.2167,-59.5167,84.81,79,40,14.97,scattered clouds
200,Islamkot,PK,24.6997,70.177,78.85,28,0,11.65,clear sky
201,Lethem,GY,3.3803,-59.7968,83.75,68,93,6.78,overcast clouds
202,Bocas Del Toro,PA,9.3333,-82.25,78.28,81,12,5.79,light rain
203,Pevek,RU,69.7008,170.3133,-10.48,99,81,2.66,broken clouds
204,Kingsland,US,30.8,-81.6898,64.92,93,100,7.49,overcast clouds
205,Airai,TL,-8.9266,125.4092,64.15,93,100,0.72,overcast clouds
206,Atar,MR,20.5169,-13.0499,95.05,12,0,4.61,clear sky
207,Pedernales,DO,18.0384,-71.744,81.07,72,92,0.69,overcast clouds
208,Belle Fourche,US,44.6714,-103.8522,29.5,62,91,4.92,overcast clouds
209,Marathon,US,44.9,-89.7668,22.24,85,100,4.61,overcast clouds
210,Kasongo,CD,-4.45,26.6667,73.81,86,97,4.94,light rain
211,San Cristobal,VE,7.7669,-72.225,66.38,92,95,1.99,overcast clouds
212,Romanovo,RU,52.6182,81.2271,34.18,82,100,21.85,overcast clouds
213,Acari,PE,-15.4311,-74.6158,69.87,67,57,5.17,broken clouds
214,Killam,CA,52.7834,-111.8518,10.35,92,80,2.3,broken clouds
215,Podgornaya,RU,44.2031,43.4297,59.85,49,21,24.61,few clouds
216,Zonguldak,TR,41.25,31.8333,54.45,56,57,4.99,broken clouds
217,Ocean City,US,39.2776,-74.5746,50.99,68,95,5.01,overcast clouds
218,Cockburn Town,TC,21.4612,-71.1419,80.56,74,40,5.75,scattered clouds
219,Soyo,AO,-6.1349,12.3689,81.88,62,7,13.13,clear sky
220,Carnarvon,AU,-24.8667,113.6333,68.52,70,0,27.11,clear sky
221,Andenes,NO,69.3143,16.1194,41.94,87,75,4.61,broken clouds
222,Pangnirtung,CA,66.1451,-65.7125,6.44,73,100,3.06,overcast clouds
223,Port Augusta,AU,-32.5,137.7667,59.99,64,99,19.42,overcast clouds
224,Barry,GB,51.4067,-3.2694,64.63,83,20,12.66,few clouds
